class,nbInstructions
org/bukkit/plugin/RegisteredListener,48
org/bukkit/plugin/RegisteredServiceProvider,52
org/bukkit/plugin/ServicePriority,75
org/bukkit/plugin/ServicesManager,0
org/bukkit/plugin/SimplePluginManager,1517
org/bukkit/plugin/SimpleServicesManager,510
org/bukkit/plugin/TimedRegisteredListener,83
org/bukkit/plugin/UnknownDependencyException,16
org/bukkit/PortalType,55
org/bukkit/potion/PotionBrewer,0
org/bukkit/potion/Potion,497
org/bukkit/potion/PotionEffect,180
org/bukkit/potion/PotionEffectType,244
org/bukkit/potion/PotionEffectTypeWrapper,20
org/bukkit/potion/Potion$Tier,74
org/bukkit/potion/PotionType,265
org/bukkit/projectiles/BlockProjectileSource,0
org/bukkit/projectiles/ProjectileSource,0
org/bukkit/Rotation,85
org/bukkit/SandstoneType,92
org/bukkit/scheduler/BukkitRunnable,84
org/bukkit/scheduler/BukkitScheduler,0
org/bukkit/scheduler/BukkitTask,0
org/bukkit/scheduler/BukkitWorker,0
org/bukkit/scoreboard/Criterias,9
org/bukkit/scoreboard/DisplaySlot,55
org/bukkit/scoreboard/Objective,0
org/bukkit/scoreboard/Scoreboard,0
org/bukkit/scoreboard/ScoreboardManager,0
org/bukkit/scoreboard/Score,0
org/bukkit/scoreboard/Team,0
org/bukkit/Server,0
org/bukkit/SkullType,75
org/bukkit/Sound,1965
org/bukkit/Statistic,340
org/bukkit/Statistic$Type,65
org/bukkit/TravelAgent,0
org/bukkit/TreeSpecies,125
org/bukkit/TreeType,185
org/bukkit/UnsafeValues,0
org/bukkit/util/BlockIterator,470
org/bukkit/util/BlockVector,177
org/bukkit/util/CachedServerIcon,0
org/bukkit/util/ChatPaginator$ChatPage,21
org/bukkit/util/ChatPaginator,387
org/bukkit/util/FileUtil,87
org/bukkit/util/io/BukkitObjectInputStream,36
org/bukkit/util/io/BukkitObjectOutputStream,29
org/bukkit/util/io/Wrapper,14
org/bukkit/Utility,0
org/bukkit/util/Java15Compat,46
org/bukkit/util/noise/NoiseGenerator,198
org/bukkit/util/noise/OctaveGenerator,170
org/bukkit/util/noise/PerlinNoiseGenerator,1559
org/bukkit/util/noise/PerlinOctaveGenerator,23
org/bukkit/util/noise/SimplexNoiseGenerator,2824
org/bukkit/util/noise/SimplexOctaveGenerator,135
org/bukkit/util/NumberConversions,149
org/bukkit/util/permissions/BroadcastPermissions,21
org/bukkit/util/permissions/CommandPermissions,141
org/bukkit/util/permissions/DefaultPermissions,146
org/bukkit/util/StringUtil,52
org/bukkit/util/Vector,891
org/bukkit/Warning,0
org/bukkit/Warning$WarningState,132
org/bukkit/WeatherType,45
org/bukkit/World,0
org/bukkit/WorldCreator,226
org/bukkit/World$Environment,94
org/bukkit/WorldType,113
org/apache/commons/codec/binary/Base32,2410
org/apache/commons/codec/binary/Base32InputStream,24
org/apache/commons/codec/binary/Base32OutputStream,24
org/apache/commons/codec/binary/Base64,1936
org/apache/commons/codec/binary/Base64InputStream,24
org/apache/commons/codec/binary/Base64OutputStream,24
org/apache/commons/codec/binary/BaseNCodec,369
org/apache/commons/codec/binary/BaseNCodec$Context,62
org/apache/commons/codec/binary/BaseNCodecInputStream,207
org/apache/commons/codec/binary/BaseNCodecOutputStream,118
org/apache/commons/codec/binary/BinaryCodec,326
org/apache/commons/codec/binary/CharSequenceUtils,61
org/apache/commons/codec/BinaryDecoder,0
org/apache/commons/codec/BinaryEncoder,0
org/apache/commons/codec/binary/Hex,373
org/apache/commons/codec/binary/StringUtils,122
org/apache/commons/codec/CharEncoding,3
org/apache/commons/codec/Charsets,35
org/apache/commons/codec/Decoder,0
org/apache/commons/codec/DecoderException,16
org/apache/commons/codec/digest/B64,63
org/apache/commons/codec/digest/Crypt,50
org/apache/commons/codec/digest/DigestUtils,231
org/apache/commons/codec/digest/HmacAlgorithms,83
org/apache/commons/codec/digest/HmacUtils,294
org/apache/commons/codec/digest/Md5Crypt,337
org/apache/commons/codec/digest/MessageDigestAlgorithms,0
org/apache/commons/codec/digest/Sha2Crypt,51
org/apache/commons/codec/digest/UnixCrypt,4852
org/apache/commons/codec/Encoder,0
org/apache/commons/codec/EncoderException,16
org/apache/commons/codec/language/AbstractCaverphone,24
org/apache/commons/codec/language/bm/BeiderMorseEncoder,109
org/apache/commons/codec/language/bm/Lang,244
org/apache/commons/codec/language/bm/Lang$LangRule,18
org/apache/commons/codec/language/bm/Languages$1,20
org/apache/commons/codec/language/bm/Languages$2,20
org/apache/commons/codec/language/bm/Languages,120
org/apache/commons/codec/language/bm/Languages$LanguageSet,14
org/apache/commons/codec/language/bm/Languages$SomeLanguages,129
org/apache/commons/codec/language/bm/NameType,61
org/apache/commons/codec/language/bm/PhoneticEngine,583
org/apache/commons/codec/language/bm/PhoneticEngine$PhonemeBuilder,131
org/apache/commons/codec/language/bm/PhoneticEngine$RulesApplication,103
org/apache/commons/codec/language/bm/ResourceConstants,3
org/apache/commons/codec/language/bm/Rule$10,15
org/apache/commons/codec/language/bm/Rule$1,5
org/apache/commons/codec/language/bm/Rule$2,80
org/apache/commons/codec/language/bm/Rule$3,10
org/apache/commons/codec/language/bm/Rule$4,11
org/apache/commons/codec/language/bm/Rule$5,11
org/apache/commons/codec/language/bm/Rule$6,11
org/apache/commons/codec/language/bm/Rule$7,26
org/apache/commons/codec/language/bm/Rule$8,25
org/apache/commons/codec/language/bm/Rule$9,28
org/apache/commons/codec/language/bm/Rule,322
org/apache/commons/codec/language/bm/Rule$Phoneme$1,51
org/apache/commons/codec/language/bm/Rule$Phoneme,109
org/apache/commons/codec/language/bm/Rule$PhonemeExpr,0
org/apache/commons/codec/language/bm/Rule$PhonemeList,12
org/apache/commons/codec/language/bm/Rule$RPattern,0
org/apache/commons/codec/language/bm/RuleType,61
org/apache/commons/codec/language/Caverphone1,301
org/apache/commons/codec/language/Caverphone2,316
org/apache/commons/codec/language/Caverphone,38
org/apache/commons/codec/language/ColognePhonetic,511
org/apache/commons/codec/language/ColognePhonetic$CologneBuffer,44
org/apache/commons/codec/language/ColognePhonetic$CologneInputBuffer,64
org/apache/commons/codec/language/ColognePhonetic$CologneOutputBuffer,33
org/apache/commons/codec/language/DoubleMetaphone,581
org/apache/commons/codec/language/DoubleMetaphone$DoubleMetaphoneResult,151
org/apache/commons/codec/language/MatchRatingApproachEncoder,654
org/apache/commons/codec/language/Metaphone,659
org/apache/commons/codec/language/Nysiis,352
org/apache/commons/codec/language/RefinedSoundex,125
org/apache/commons/codec/language/Soundex,156
org/apache/commons/codec/language/SoundexUtils,92
org/apache/commons/codec/net/BCodec,144
org/apache/commons/codec/net/QCodec,360
org/apache/commons/codec/net/QuotedPrintableCodec,295
org/apache/commons/codec/net/RFC1522Codec,176
org/apache/commons/codec/net/URLCodec,342
org/apache/commons/codec/net/Utils,24
org/apache/commons/codec/StringDecoder,0
org/apache/commons/codec/StringEncoder,0
org/apache/commons/codec/StringEncoderComparator,36
org/apache/commons/collections4/ArrayStack,93
org/apache/commons/collections4/bag/AbstractBagDecorator,35
org/apache/commons/collections4/bag/AbstractMapBag$BagIterator,119
org/apache/commons/collections4/bag/AbstractMapBag,652
org/apache/commons/collections4/bag/AbstractMapBag$MutableInteger,24
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,29
org/apache/commons/collections4/Bag,0
org/apache/commons/collections4/bag/CollectionBag,131
org/apache/commons/collections4/bag/CollectionSortedBag,131
org/apache/commons/collections4/bag/HashBag,13
org/apache/commons/collections4/bag/package-info,0
org/apache/commons/collections4/bag/PredicatedBag,42
org/apache/commons/collections4/bag/PredicatedSortedBag,33
org/apache/commons/collections4/bag/SynchronizedBag,87
org/apache/commons/collections4/bag/SynchronizedBag$SynchronizedBagSet,8
org/apache/commons/collections4/bag/SynchronizedSortedBag,60
org/apache/commons/collections4/bag/TransformedBag,86
org/apache/commons/collections4/bag/TransformedSortedBag,70
org/apache/commons/collections4/bag/TreeBag,65
org/apache/commons/collections4/bag/UnmodifiableBag,56
org/apache/commons/collections4/bag/UnmodifiableSortedBag,54
org/apache/commons/collections4/BagUtils,47
org/apache/commons/collections4/bidimap/AbstractBidiMapDecorator,36
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$BidiMapIterator,158
org/apache/commons/collections4/bidimap/AbstractDualBidiMap,283
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$EntrySet,62
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$EntrySetIterator,59
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$KeySet,41
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$KeySetIterator,53
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$MapEntry,38
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$Values,41
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$ValuesIterator,47
org/apache/commons/collections4/bidimap/AbstractDualBidiMap$View,72
org/apache/commons/collections4/bidimap/AbstractOrderedBidiMapDecorator,46
org/apache/commons/collections4/bidimap/AbstractSortedBidiMapDecorator,54
org/apache/commons/collections4/BidiMap,0
org/apache/commons/collections4/bidimap/DualHashBidiMap,34
org/apache/commons/collections4/bidimap/DualLinkedHashBidiMap,34
org/apache/commons/collections4/bidimap/DualTreeBidiMap$BidiOrderedMapIterator,160
org/apache/commons/collections4/bidimap/DualTreeBidiMap,233
org/apache/commons/collections4/bidimap/DualTreeBidiMap$ViewMap,79
org/apache/commons/collections4/bidimap/package-info,0
org/apache/commons/collections4/bidimap/TreeBidiMap,432
org/apache/commons/collections4/bidimap/TreeBidiMap$DataElement,50
org/apache/commons/collections4/bidimap/TreeBidiMap$EntryView,74
org/apache/commons/collections4/bidimap/TreeBidiMap$Inverse,281
org/apache/commons/collections4/bidimap/TreeBidiMap$InverseEntryView,74
org/apache/commons/collections4/bidimap/TreeBidiMap$InverseViewMapEntryIterator,24
org/apache/commons/collections4/bidimap/TreeBidiMap$InverseViewMapIterator,61
org/apache/commons/collections4/bidimap/TreeBidiMap$KeyView,37
org/apache/commons/collections4/bidimap/TreeBidiMap$Node,197
org/apache/commons/collections4/bidimap/TreeBidiMap$ValueView,37
org/apache/commons/collections4/bidimap/TreeBidiMap$View,17
org/apache/commons/collections4/bidimap/TreeBidiMap$ViewIterator,188
org/apache/commons/collections4/bidimap/TreeBidiMap$ViewMapEntryIterator,20
org/apache/commons/collections4/bidimap/TreeBidiMap$ViewMapIterator,61
org/apache/commons/collections4/bidimap/UnmodifiableBidiMap,78
org/apache/commons/collections4/bidimap/UnmodifiableOrderedBidiMap,87
org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap,112
org/apache/commons/collections4/BoundedCollection,0
org/apache/commons/collections4/BoundedMap,0
org/apache/commons/collections4/Closure,0
org/apache/commons/collections4/ClosureUtils,112
org/apache/commons/collections4/collection/AbstractCollectionDecorator,103
org/apache/commons/collections4/collection/CompositeCollection,386
org/apache/commons/collections4/collection/CompositeCollection$CollectionMutator,0
org/apache/commons/collections4/collection/IndexedCollection,181
org/apache/commons/collections4/collection/package-info,0
org/apache/commons/collections4/collection/PredicatedCollection,85
org/apache/commons/collections4/collection/SynchronizedCollection,278
org/apache/commons/collections4/collection/TransformedCollection,103
org/apache/commons/collections4/collection/UnmodifiableBoundedCollection,103
org/apache/commons/collections4/collection/UnmodifiableCollection,41
org/apache/commons/collections4/CollectionUtils$1,18
org/apache/commons/collections4/CollectionUtils$2,18
org/apache/commons/collections4/CollectionUtils$3,18
org/apache/commons/collections4/CollectionUtils$CardinalityHelper,39
org/apache/commons/collections4/CollectionUtils,1606
org/apache/commons/collections4/CollectionUtils$EquatorWrapper,34
org/apache/commons/collections4/CollectionUtils$SetOperationCardinalityHelper,48
org/apache/commons/collections4/comparators/BooleanComparator,93
org/apache/commons/collections4/comparators/ComparableComparator,39
org/apache/commons/collections4/comparators/ComparatorChain,258
org/apache/commons/collections4/comparators/FixedOrderComparator,414
org/apache/commons/collections4/comparators/FixedOrderComparator$UnknownObjectBehavior,55
org/apache/commons/collections4/comparators/NullComparator,106
org/apache/commons/collections4/comparators/package-info,0
org/apache/commons/collections4/comparators/ReverseComparator,53
org/apache/commons/collections4/comparators/TransformingComparator,110
org/apache/commons/collections4/ComparatorUtils,113
org/apache/commons/collections4/EnumerationUtils,23
org/apache/commons/collections4/Equator,0
org/apache/commons/collections4/Factory,0
org/apache/commons/collections4/FactoryUtils,21
org/apache/commons/collections4/FunctorException,16
org/apache/commons/collections4/functors/AbstractQuantifierPredicate,10
org/apache/commons/collections4/functors/AllPredicate,72
org/apache/commons/collections4/functors/AndPredicate,51
org/apache/commons/collections4/functors/AnyPredicate,71
org/apache/commons/collections4/functors/CatchAndRethrowClosure,17
org/apache/commons/collections4/functors/ChainedClosure,84
org/apache/commons/collections4/functors/ChainedTransformer,71
org/apache/commons/collections4/functors/CloneTransformer,15
org/apache/commons/collections4/functors/ClosureTransformer,27
org/apache/commons/collections4/functors/ComparatorPredicate,157
org/apache/commons/collections4/functors/ComparatorPredicate$Criterion,75
org/apache/commons/collections4/functors/ConstantFactory,27
org/apache/commons/collections4/functors/ConstantTransformer,74
org/apache/commons/collections4/functors/DefaultEquator,27
org/apache/commons/collections4/functors/EqualPredicate,51
org/apache/commons/collections4/functors/ExceptionClosure,12
org/apache/commons/collections4/functors/ExceptionFactory,12
org/apache/commons/collections4/functors/ExceptionPredicate,12
org/apache/commons/collections4/functors/ExceptionTransformer,12
org/apache/commons/collections4/functors/FactoryTransformer,25
org/apache/commons/collections4/functors/FalsePredicate,9
org/apache/commons/collections4/functors/ForClosure,45
org/apache/commons/collections4/functors/FunctorUtils,177
org/apache/commons/collections4/functors/IdentityPredicate,26
org/apache/commons/collections4/functors/IfClosure,70
org/apache/commons/collections4/functors/IfTransformer,80
org/apache/commons/collections4/functors/InstanceofPredicate,26
org/apache/commons/collections4/functors/InstantiateFactory,116
org/apache/commons/collections4/functors/InstantiateTransformer,114
org/apache/commons/collections4/functors/InvokerTransformer,163
org/apache/commons/collections4/functors/MapTransformer,17
org/apache/commons/collections4/functors/NonePredicate,55
org/apache/commons/collections4/functors/NOPClosure,8
org/apache/commons/collections4/functors/NOPTransformer,9
org/apache/commons/collections4/functors/NotNullPredicate,13
org/apache/commons/collections4/functors/NotPredicate,35
org/apache/commons/collections4/functors/NullIsExceptionPredicate,38
org/apache/commons/collections4/functors/NullIsFalsePredicate,35
org/apache/commons/collections4/functors/NullIsTruePredicate,35
org/apache/commons/collections4/functors/NullPredicate,13
org/apache/commons/collections4/functors/OnePredicate,64
org/apache/commons/collections4/functors/OrPredicate,51
org/apache/commons/collections4/functors/package-info,0
org/apache/commons/collections4/functors/PredicateDecorator,0
org/apache/commons/collections4/functors/PredicateTransformer,32
org/apache/commons/collections4/functors/PrototypeFactory,65
org/apache/commons/collections4/functors/PrototypeFactory$PrototypeCloneFactory,31
org/apache/commons/collections4/functors/PrototypeFactory$PrototypeSerializationFactory,75
org/apache/commons/collections4/functors/StringValueTransformer,15
org/apache/commons/collections4/functors/SwitchClosure,140
org/apache/commons/collections4/functors/SwitchTransformer,145
org/apache/commons/collections4/functors/TransformedPredicate,50
org/apache/commons/collections4/functors/TransformerClosure,24
org/apache/commons/collections4/functors/TransformerPredicate,37
org/apache/commons/collections4/functors/TruePredicate,9
org/apache/commons/collections4/functors/UniquePredicate,17
org/apache/commons/collections4/functors/WhileClosure,60
org/apache/commons/collections4/Get,0
org/apache/commons/collections4/IterableGet,0
org/apache/commons/collections4/IterableMap,0
org/apache/commons/collections4/IterableSortedMap,0
org/apache/commons/collections4/iterators/AbstractEmptyIterator,37
org/apache/commons/collections4/iterators/AbstractEmptyMapIterator,18
org/apache/commons/collections4/iterators/AbstractIteratorDecorator,8
org/apache/commons/collections4/iterators/AbstractListIteratorDecorator,54
org/apache/commons/collections4/iterators/AbstractMapIteratorDecorator,41
org/apache/commons/collections4/iterators/AbstractOrderedMapIteratorDecorator,49
org/apache/commons/collections4/iterators/AbstractUntypedIteratorDecorator,24
org/apache/commons/collections4/iterators/ArrayIterator,129
org/apache/commons/collections4/iterators/ArrayListIterator,118
org/apache/commons/collections4/iterators/BoundedIterator,85
org/apache/commons/collections4/iterators/CollatingIterator,212
org/apache/commons/collections4/iterators/EmptyIterator,14
org/apache/commons/collections4/iterators/EmptyListIterator,14
org/apache/commons/collections4/iterators/EmptyMapIterator,10
org/apache/commons/collections4/iterators/EmptyOrderedIterator,10
org/apache/commons/collections4/iterators/EmptyOrderedMapIterator,10
org/apache/commons/collections4/iterators/EntrySetMapIterator,120
org/apache/commons/collections4/iterators/EnumerationIterator,65
org/apache/commons/collections4/iterators/FilterIterator,91
org/apache/commons/collections4/iterators/FilterListIterator,163
org/apache/commons/collections4/iterators/IteratorChain,221
org/apache/commons/collections4/iterators/IteratorEnumeration,24
org/apache/commons/collections4/iterators/IteratorIterable$1,18
org/apache/commons/collections4/iterators/IteratorIterable,39
org/apache/commons/collections4/iterators/LazyIteratorChain,44
org/apache/commons/collections4/iterators/ListIteratorWrapper,294
org/apache/commons/collections4/iterators/LoopingIterator,56
org/apache/commons/collections4/iterators/LoopingListIterator,147
org/apache/commons/collections4/iterators/NodeListIterator,81
org/apache/commons/collections4/iterators/ObjectArrayIterator,111
org/apache/commons/collections4/iterators/ObjectArrayListIterator,118
org/apache/commons/collections4/iterators/ObjectGraphIterator,195
org/apache/commons/collections4/iterators/package-info,0
org/apache/commons/collections4/iterators/PeekingIterator,105
org/apache/commons/collections4/iterators/PermutationIterator,266
org/apache/commons/collections4/iterators/PushbackIterator,63
org/apache/commons/collections4/iterators/ReverseListIterator,103
org/apache/commons/collections4/iterators/SingletonIterator,75
org/apache/commons/collections4/iterators/SingletonListIterator,127
org/apache/commons/collections4/iterators/TransformIterator,51
org/apache/commons/collections4/iterators/UniqueFilterIterator,5
org/apache/commons/collections4/iterators/UnmodifiableIterator,32
org/apache/commons/collections4/iterators/UnmodifiableListIterator,58
org/apache/commons/collections4/iterators/UnmodifiableMapIterator,45
org/apache/commons/collections4/iterators/UnmodifiableOrderedMapIterator,53
org/apache/commons/collections4/IteratorUtils,549
org/apache/commons/collections4/keyvalue/AbstractKeyValue,44
org/apache/commons/collections4/keyvalue/AbstractMapEntry,70
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,47
org/apache/commons/collections4/KeyValue,0
org/apache/commons/collections4/keyvalue/DefaultKeyValue,114
org/apache/commons/collections4/keyvalue/DefaultMapEntry,19
org/apache/commons/collections4/keyvalue/MultiKey,155
org/apache/commons/collections4/keyvalue/package-info,0
org/apache/commons/collections4/keyvalue/TiedMapEntry,109
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,24
org/apache/commons/collections4/list/AbstractLinkedList,812
org/apache/commons/collections4/list/AbstractLinkedList$LinkedListIterator,210
org/apache/commons/collections4/list/AbstractLinkedList$LinkedSubList,307
org/apache/commons/collections4/list/AbstractLinkedList$LinkedSubListIterator,69
org/apache/commons/collections4/list/AbstractLinkedList$Node,48
org/apache/commons/collections4/list/AbstractListDecorator,67
org/apache/commons/collections4/list/AbstractSerializableListDecorator,4
org/apache/commons/collections4/list/CursorableLinkedList,225
org/apache/commons/collections4/list/CursorableLinkedList$Cursor,182
org/apache/commons/collections4/list/CursorableLinkedList$SubCursor,70
org/apache/commons/collections4/list/FixedSizeList,114
org/apache/commons/collections4/list/FixedSizeList$FixedSizeListIterator,17
org/apache/commons/collections4/list/GrowthList,96
org/apache/commons/collections4/list/LazyList,84
org/apache/commons/collections4/list/NodeCachingLinkedList,148
org/apache/commons/collections4/list/package-info,0
org/apache/commons/collections4/list/PredicatedList,106
org/apache/commons/collections4/list/PredicatedList$PredicatedListIterator,25
org/apache/commons/collections4/list/SetUniqueList,345
org/apache/commons/collections4/list/SetUniqueList$SetListIterator,29
org/apache/commons/collections4/list/SetUniqueList$SetListListIterator,55
org/apache/commons/collections4/list/TransformedList,138
org/apache/commons/collections4/list/TransformedList$TransformedListIterator,27
org/apache/commons/collections4/list/TreeList$AVLNode,269
org/apache/commons/collections4/list/TreeList,246
org/apache/commons/collections4/list/TreeList$TreeListIterator,249
org/apache/commons/collections4/list/UnmodifiableList,83
org/apache/commons/collections4/ListUtils$CharSequenceAsList,20
org/apache/commons/collections4/ListUtils,421
org/apache/commons/collections4/ListUtils$LcsVisitor,19
org/apache/commons/collections4/ListUtils$Partition,94
org/apache/commons/collections4/ListValuedMap,0
org/apache/commons/collections4/map/AbstractHashedMap,1066
org/apache/commons/collections4/map/AbstractHashedMap$EntrySet,64
org/apache/commons/collections4/map/AbstractHashedMap$EntrySetIterator,10
org/apache/commons/collections4/map/AbstractHashedMap$HashEntry,109
org/apache/commons/collections4/map/AbstractHashedMap$HashIterator,152
org/apache/commons/collections4/map/AbstractHashedMap$HashMapIterator,48
org/apache/commons/collections4/map/AbstractHashedMap$KeySet,35
org/apache/commons/collections4/map/AbstractHashedMap$KeySetIterator,8
org/apache/commons/collections4/map/AbstractHashedMap$Values,23
org/apache/commons/collections4/map/AbstractHashedMap$ValuesIterator,8
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator,25
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator$EntrySet,114
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator$EntrySetIterator,27
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator$MapEntry,20
org/apache/commons/collections4/map/AbstractIterableMap,9
org/apache/commons/collections4/map/AbstractLinkedMap,356
org/apache/commons/collections4/map/AbstractLinkedMap$EntrySetIterator,16
org/apache/commons/collections4/map/AbstractLinkedMap$KeySetIterator,12
org/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry,7
org/apache/commons/collections4/map/AbstractLinkedMap$LinkIterator,172
org/apache/commons/collections4/map/AbstractLinkedMap$LinkMapIterator,52
org/apache/commons/collections4/map/AbstractLinkedMap$ValuesIterator,12
org/apache/commons/collections4/map/AbstractMapDecorator,92
org/apache/commons/collections4/map/AbstractOrderedMapDecorator,39
org/apache/commons/collections4/map/AbstractReferenceMap,415
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceBaseIterator,152
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry,222
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntrySet,38
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntrySetIterator,10
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceKeySet,35
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceKeySetIterator,8
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceMapIterator,48
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceStrength,73
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceValues,35
org/apache/commons/collections4/map/AbstractReferenceMap$ReferenceValuesIterator,8
org/apache/commons/collections4/map/AbstractReferenceMap$SoftRef,11
org/apache/commons/collections4/map/AbstractReferenceMap$WeakRef,11
org/apache/commons/collections4/map/AbstractSortedMapDecorator,80
org/apache/commons/collections4/map/AbstractSortedMapDecorator$SortedMapIterator,29
org/apache/commons/collections4/map/CaseInsensitiveMap,59
org/apache/commons/collections4/map/CompositeMap,473
org/apache/commons/collections4/map/CompositeMap$MapMutator,0
org/apache/commons/collections4/map/DefaultedMap,75
org/apache/commons/collections4/map/EntrySetToMapIteratorAdapter,57
org/apache/commons/collections4/map/FixedSizeMap,87
org/apache/commons/collections4/map/FixedSizeSortedMap,100
org/apache/commons/collections4/map/Flat3Map,1347
org/apache/commons/collections4/map/Flat3Map$EntryIterator,76
org/apache/commons/collections4/map/Flat3Map$EntrySet,59
org/apache/commons/collections4/map/Flat3Map$EntrySetIterator,10
org/apache/commons/collections4/map/Flat3Map$FlatMapEntry,226
org/apache/commons/collections4/map/Flat3Map$FlatMapIterator,216
org/apache/commons/collections4/map/Flat3Map$KeySet,53
org/apache/commons/collections4/map/Flat3Map$KeySetIterator,8
org/apache/commons/collections4/map/Flat3Map$Values,41
org/apache/commons/collections4/map/Flat3Map$ValuesIterator,8
org/apache/commons/collections4/map/HashedMap,29
org/apache/commons/collections4/MapIterator,0
org/apache/commons/collections4/map/LazyMap,66
org/apache/commons/collections4/map/LazySortedMap,75
org/apache/commons/collections4/map/LinkedMap,79
org/apache/commons/collections4/map/LinkedMap$LinkedMapList,88
org/apache/commons/collections4/map/ListOrderedMap,444
org/apache/commons/collections4/map/ListOrderedMap$EntrySetView,80
org/apache/commons/collections4/map/ListOrderedMap$KeySetView$1,13
org/apache/commons/collections4/map/ListOrderedMap$KeySetView,28
org/apache/commons/collections4/map/ListOrderedMap$ListOrderedIterator,37
org/apache/commons/collections4/map/ListOrderedMap$ListOrderedMapEntry,22
org/apache/commons/collections4/map/ListOrderedMap$ListOrderedMapIterator,144
org/apache/commons/collections4/map/ListOrderedMap$ValuesView$1,13
org/apache/commons/collections4/map/ListOrderedMap$ValuesView,44
org/apache/commons/collections4/map/LRUMap,467
org/apache/commons/collections4/map/MultiKeyMap,1578
org/apache/commons/collections4/map/MultiValueMap$1$1$1,22
org/apache/commons/collections4/map/MultiValueMap$1$1,22
org/apache/commons/collections4/map/MultiValueMap$1,36
org/apache/commons/collections4/map/MultiValueMap,325
org/apache/commons/collections4/map/MultiValueMap$ReflectionFactory,28
org/apache/commons/collections4/map/MultiValueMap$Values,39
org/apache/commons/collections4/map/MultiValueMap$ValuesIterator,41
org/apache/commons/collections4/map/package-info,0
org/apache/commons/collections4/map/PassiveExpiringMap,184
org/apache/commons/collections4/map/PassiveExpiringMap$ConstantTimeToLiveExpirationPolicy,39
org/apache/commons/collections4/map/PassiveExpiringMap$ExpirationPolicy,0
org/apache/commons/collections4/map/PredicatedMap,113
org/apache/commons/collections4/map/PredicatedSortedMap,72
org/apache/commons/collections4/map/ReferenceIdentityMap,73
org/apache/commons/collections4/map/ReferenceMap,40
org/apache/commons/collections4/map/SingletonMap,312
org/apache/commons/collections4/map/SingletonMap$SingletonMapIterator,121
org/apache/commons/collections4/map/SingletonMap$SingletonValues,27
org/apache/commons/collections4/map/StaticBucketMap$BaseIterator,105
org/apache/commons/collections4/map/StaticBucketMap,560
org/apache/commons/collections4/map/StaticBucketMap$EntryIterator,10
org/apache/commons/collections4/map/StaticBucketMap$EntrySet,120
org/apache/commons/collections4/map/StaticBucketMap$KeyIterator,8
org/apache/commons/collections4/map/StaticBucketMap$KeySet,78
org/apache/commons/collections4/map/StaticBucketMap$Lock,3
org/apache/commons/collections4/map/StaticBucketMap$Node,78
org/apache/commons/collections4/map/StaticBucketMap$ValueIterator,8
org/apache/commons/collections4/map/StaticBucketMap$Values,19
org/apache/commons/collections4/map/TransformedMap,130
org/apache/commons/collections4/map/TransformedSortedMap,94
org/apache/commons/collections4/map/UnmodifiableEntrySet,134
org/apache/commons/collections4/map/UnmodifiableEntrySet$UnmodifiableEntry,11
org/apache/commons/collections4/map/UnmodifiableEntrySet$UnmodifiableEntrySetIterator,24
org/apache/commons/collections4/map/UnmodifiableMap,67
org/apache/commons/collections4/map/UnmodifiableOrderedMap,56
org/apache/commons/collections4/map/UnmodifiableSortedMap,77
org/apache/commons/collections4/MapUtils$1,4
org/apache/commons/collections4/MapUtils$2,4
org/apache/commons/collections4/MapUtils,906
org/apache/commons/collections4/multimap/AbstractListValuedMap,123
org/apache/commons/collections4/multimap/AbstractListValuedMap$ValuesListIterator,121
org/apache/commons/collections4/multimap/AbstractListValuedMap$WrappedList,195
org/apache/commons/collections4/multimap/AbstractMultiValuedMap,513
org/apache/commons/collections4/multimap/AbstractMultiValuedMapDecorator,124
org/apache/commons/collections4/multimap/AbstractMultiValuedMap$EntryValues$1$1,25
org/apache/commons/collections4/multimap/AbstractMultiValuedMap$EntryValues$1,51
