"Project","Decompiler","Class","isDecompilable","distanceToOriginal","isRecompilable","passTests"
"Bukkit","CFR-0.141","org/bukkit/event/entity/HorseJumpEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityInteractEvent",TRUE,13,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityPortalEnterEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/PotionSplashEvent",TRUE,27,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ExplosionPrimeEvent",TRUE,24,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityCombustEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ExpBottleEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityDamageByEntityEvent",TRUE,19,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityExplodeEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/SlimeSplitEvent",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityPortalEvent",TRUE,7,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/SheepDyeWoolEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityCombustByEntityEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityChangeBlockEvent",TRUE,23,FALSE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/PigZapEvent",TRUE,19,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityDamageByBlockEvent",TRUE,19,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/FoodLevelChangeEvent",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ItemSpawnEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityDamageEvent",TRUE,81,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/enchantment/PrepareItemEnchantEvent",TRUE,27,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/enchantment/EnchantItemEvent",TRUE,34,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockFadeEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockExpEvent",TRUE,4,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/block/NotePlayEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockFormEvent",TRUE,2,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockPhysicsEvent",TRUE,13,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/SignChangeEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockGrowEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockPlaceEvent",TRUE,31,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/Action",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockFromToEvent",TRUE,26,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/LeavesDecayEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockEvent",TRUE,7,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockBreakEvent",TRUE,10,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockDamageEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/EntityBlockFormEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockRedstoneEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockIgniteEvent",TRUE,39,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockPistonEvent",TRUE,14,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockSpreadEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockMultiPlaceEvent",TRUE,3,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockCanBuildEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockPistonExtendEvent",TRUE,17,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockPistonRetractEvent",TRUE,8,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockBurnEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/block/BlockDispenseEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/HandlerList",TRUE,170,FALSE,FALSE
"Bukkit","CFR-0.141","org/bukkit/event/EventException",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerShearEntityEvent",TRUE,13,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerChangedWorldEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerBucketEvent",TRUE,24,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/AsyncPlayerPreLoginEvent",TRUE,66,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerCommandPreprocessEvent",TRUE,26,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerToggleFlightEvent",TRUE,17,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerDropItemEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerBedEnterEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/AsyncPlayerChatEvent",TRUE,34,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerPickupItemEvent",TRUE,14,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerExpChangeEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerKickEvent",TRUE,14,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerInteractEntityEvent",TRUE,7,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerUnregisterChannelEvent",TRUE,2,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerFishEvent",TRUE,31,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerTeleportEvent",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerToggleSneakEvent",TRUE,17,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerPreLoginEvent",TRUE,54,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerUnleashEntityEvent",TRUE,8,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerLevelChangeEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerItemBreakEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerBucketFillEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerItemHeldEvent",TRUE,14,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerLoginEvent",TRUE,46,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerRespawnEvent",TRUE,3,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerQuitEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerInteractEvent",TRUE,80,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerBedLeaveEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerPortalEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerStatisticIncrementEvent",TRUE,22,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerEggThrowEvent",TRUE,22,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerChatTabCompleteEvent",TRUE,28,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerGameModeChangeEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerMoveEvent",TRUE,14,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerBucketEmptyEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerEditBookEvent",TRUE,31,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerChatEvent",TRUE,27,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/player/PlayerInventoryEvent",TRUE,5,TRUE,NA
